input_file,factor,color,canonical_key,page,bbox,match_type,match_score,color_match,mapped_json,notes
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,1 Over Limit Accnt,#428f4e,1_over_limit_accnt--f236d604ed,0,"[382.67999267578125, 165.8050079345703, 472.5390319824219, 180.91900634765625]",exact,1.0,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,Total Rev Usage > 90%,#428f4e,total_rev_usage_90--217ef38a5f,0,"[382.67999267578125, 182.8150177001953, 499.14801025390625, 197.92901611328125]",exact,1.0,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,Pay $18591 so Accts < 40%,#dc3545,pay_18591_so_accts_40--a81fe999a1,0,"[382.67999267578125, 199.8250274658203, 520.5650634765625, 214.93902587890625]",exact,1.0,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,1 RE Late in 6-12 mo,#dc3545,1_re_late_in_6_12_mo--f1fdddc0bc,0,"[382.67999267578125, 216.83497619628906, 486.6190185546875, 231.948974609375]",exact,1.0,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,7k+ line for 4+yrs,#428f4e,7k_line_for_4_yrs--0876b651c2,0,"[382.67999267578125, 233.84498596191406, 467.0500183105469, 248.958984375]",exact,1.0,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,Great Closed Rev Depth,#428f4e,great_closed_rev_depth--01b74bb769,0,"[382.67999267578125, 250.84498596191406, 502.50299072265625, 265.958984375]",exact,1.0,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,Seasoned Closed Accounts,#428f4e,seasoned_closed_accounts--de9556a1be,0,"[382.67999267578125, 267.85498046875, 517.803955078125, 282.968994140625]",exact,1.0,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,Ok Open Rev Depth,#428f4e,ok_open_rev_depth--edf7078316,0,"[382.67999267578125, 284.864990234375, 481.7240295410156, 299.97900390625]",exact,1.0,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,3+ Closed Rev Accnts,#428f4e,3_closed_rev_accnts--b607705a41,0,"[382.67999267578125, 301.875, 491.19500732421875, 316.989013671875]",exact,1.0,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,Closed Accnts Over 7.5k,#428f4e,closed_accnts_over_7_5k--d650567420,0,"[382.67999267578125, 318.8849792480469, 503.7240295410156, 333.9989929199219]",exact,1.0,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,
