input_file,pdf_lines_json,factor,spans_preview,color,canonical_key,page,bbox,match_type,match_score,color_match,mapped_json,review_action,reviewer_notes
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.pdf.lines.json,1 Over Limit Accnt,1 Over Limit Accnt...,#428f4e,1_over_limit_accnt--f236d604ed,0,"[382.67999267578125, 165.8050079345703, 472.5390319824219, 180.91900634765625]",exact,1.00,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.pdf.lines.json,Total Rev Usage > 90%,Total Rev Usage > 90%...,#428f4e,total_rev_usage_90--217ef38a5f,0,"[382.67999267578125, 182.8150177001953, 499.14801025390625, 197.92901611328125]",exact,1.00,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.pdf.lines.json,Pay $18591 so Accts < 40%,Pay $18591 so Accts < 40%...,#dc3545,pay_18591_so_accts_40--a81fe999a1,0,"[382.67999267578125, 199.8250274658203, 520.5650634765625, 214.93902587890625]",exact,1.00,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.pdf.lines.json,1 RE Late in 6-12 mo,1 RE Late in 6-12 mo...,#dc3545,1_re_late_in_6_12_mo--f1fdddc0bc,0,"[382.67999267578125, 216.83497619628906, 486.6190185546875, 231.948974609375]",exact,1.00,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.pdf.lines.json,7k+ line for 4+yrs,7k+ line for 4+yrs...,#428f4e,7k_line_for_4_yrs--0876b651c2,0,"[382.67999267578125, 233.84498596191406, 467.0500183105469, 248.958984375]",exact,1.00,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.pdf.lines.json,Great Closed Rev Depth,Great Closed Rev Depth...,#428f4e,great_closed_rev_depth--01b74bb769,0,"[382.67999267578125, 250.84498596191406, 502.50299072265625, 265.958984375]",exact,1.00,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.pdf.lines.json,Seasoned Closed Accounts,Seasoned Closed Accounts...,#428f4e,seasoned_closed_accounts--de9556a1be,0,"[382.67999267578125, 267.85498046875, 517.803955078125, 282.968994140625]",exact,1.00,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.json,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.pdf.lines.json,Ok Open Rev Depth,Ok Open Rev Depth...,#428f4e,ok_open_rev_depth--edf7078316,0,"[382.67999267578125, 284.864990234375, 481.7240295410156, 299.97900390625]",exact,1.00,,tmp/auto_map/user_1131_credit_summary_2025-09-01_132805_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.pdf.lines.json,Avg Age Open,Avg Age Open...,#dc3545,avg_age_open--8f2357d36a,0,"[382.67999267578125, 165.8050079345703, 454.2240295410156, 180.91900634765625]",exact,1.00,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,,
data/extracted/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.json,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.pdf.lines.json,No Closed Rev Depth,No Closed Rev Depth...,#dc3545,no_closed_rev_depth--fd24789bc0,0,"[382.67999267578125, 182.8150177001953, 489.0499572753906, 197.92901611328125]",exact,1.00,,tmp/auto_map/user_1099_credit_summary_2025-09-01_100119_ground_truth_unvalidated.mapped.json,,
